Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"16,950","17,050.00","17,100.00","16,900.00",343.60K,-0.88%
30/12/2024,"17,100","17,100.00","17,300.00","17,100.00",300.90K,0.00%
27/12/2024,"17,100","17,200.00","17,200.00","17,050.00",402.10K,0.00%
26/12/2024,"17,100","17,200.00","17,250.00","17,100.00",218.80K,0.00%
25/12/2024,"17,100","16,950.00","17,500.00","16,950.00",766.20K,0.88%
24/12/2024,"16,950","17,000.00","17,000.00","16,900.00",522.20K,-0.29%
23/12/2024,"17,000","16,950.00","17,200.00","16,950.00",354.00K,0.00%
20/12/2024,"17,000","17,100.00","17,200.00","17,000.00",278.90K,-0.58%
19/12/2024,"17,100","17,000.00","17,100.00","16,850.00",740.80K,-0.87%
18/12/2024,"17,250","17,050.00","17,250.00","17,000.00",294.50K,0.88%
17/12/2024,"17,100","17,200.00","17,200.00","17,000.00",418.70K,0.29%
16/12/2024,"17,050","17,250.00","17,300.00","17,050.00",417.70K,-0.58%
13/12/2024,"17,150","17,450.00","17,500.00","17,150.00",638.00K,-2.00%
12/12/2024,"17,500","17,650.00","17,700.00","17,450.00",367.30K,-0.57%
11/12/2024,"17,600","17,750.00","17,800.00","17,200.00",654.80K,-0.56%
10/12/2024,"17,700","17,750.00","17,800.00","17,500.00",501.40K,-0.28%
9/12/2024,"17,750","17,700.00","17,900.00","17,600.00",676.10K,0.28%
6/12/2024,"17,700","17,700.00","17,800.00","17,550.00",1.08M,-0.56%
5/12/2024,"17,800","16,700.00","17,850.00","16,400.00",2.09M,6.59%
4/12/2024,"16,700","16,950.00","16,950.00","16,600.00",658.90K,-1.47%
3/12/2024,"16,950","17,050.00","17,200.00","16,900.00",188.70K,-0.59%
2/12/2024,"17,050","17,100.00","17,200.00","17,000.00",189.20K,-0.29%
29/11/2024,"17,100","17,000.00","17,200.00","16,850.00",331.40K,0.29%
28/11/2024,"17,050","17,100.00","17,250.00","17,000.00",223.70K,0.29%
27/11/2024,"17,000","17,250.00","17,250.00","17,000.00",354.50K,-1.45%
26/11/2024,"17,250","17,000.00","17,400.00","17,000.00",442.30K,1.77%
25/11/2024,"16,950","17,000.00","17,000.00","16,850.00",178.30K,0.30%
22/11/2024,"16,900","17,050.00","17,100.00","16,850.00",275.40K,-0.88%
21/11/2024,"17,050","16,850.00","17,050.00","16,750.00",270.00K,2.10%
20/11/2024,"16,700","16,600.00","17,150.00","16,500.00",603.40K,0.91%
19/11/2024,"16,550","17,000.00","17,000.00","16,550.00",324.10K,-2.07%
18/11/2024,"16,900","16,350.00","17,100.00","16,350.00",710.90K,3.36%
15/11/2024,"16,350","17,050.00","17,050.00","16,350.00",1.20M,-4.11%
14/11/2024,"17,050","17,800.00","17,800.00","17,050.00",932.80K,-4.21%
13/11/2024,"17,800","17,700.00","18,000.00","17,550.00",765.00K,-1.11%
12/11/2024,"18,000","18,000.00","18,350.00","17,950.00",531.60K,0.00%
11/11/2024,"18,000","18,200.00","18,250.00","17,750.00",510.60K,-1.10%
8/11/2024,"18,200","18,200.00","18,350.00","17,950.00",708.70K,0.00%
7/11/2024,"18,200","18,350.00","18,400.00","18,100.00",535.50K,-0.82%
6/11/2024,"18,350","17,850.00","18,350.00","17,750.00",856.90K,3.67%
5/11/2024,"17,700","17,700.00","17,750.00","17,550.00",238.00K,0.00%
4/11/2024,"17,700","17,750.00","17,950.00","17,250.00",554.30K,0.00%
1/11/2024,"17,700","17,750.00","17,750.00","17,500.00",373.70K,-0.56%
31/10/2024,"17,800","18,000.00","18,000.00","17,700.00",254.00K,0.28%
30/10/2024,"17,750","17,850.00","17,850.00","17,650.00",247.60K,-0.56%
29/10/2024,"17,850","17,850.00","17,950.00","17,800.00",324.70K,0.00%
28/10/2024,"17,850","17,600.00","17,850.00","17,600.00",315.50K,1.42%
25/10/2024,"17,600","17,650.00","17,700.00","17,500.00",342.60K,0.57%
24/10/2024,"17,500","17,700.00","17,800.00","17,500.00",449.50K,-1.13%
23/10/2024,"17,700","17,650.00","17,900.00","17,450.00",501.90K,0.57%
22/10/2024,"17,600","17,950.00","18,050.00","17,500.00",1.23M,-1.95%
21/10/2024,"17,950","18,200.00","18,200.00","17,950.00",778.80K,-1.10%
18/10/2024,"18,150","18,300.00","18,550.00","18,150.00",493.50K,-0.55%
17/10/2024,"18,250","18,150.00","18,300.00","17,700.00",1.33M,0.55%
16/10/2024,"18,150","18,150.00","18,250.00","18,100.00",563.70K,0.00%
15/10/2024,"18,150","18,550.00","18,650.00","18,150.00",919.70K,-2.16%
14/10/2024,"18,550","18,500.00","18,850.00","18,500.00",1.07M,-0.27%
11/10/2024,"18,600","18,350.00","18,600.00","18,200.00",550.50K,1.36%
10/10/2024,"18,350","18,600.00","18,750.00","18,350.00",791.00K,-1.08%
9/10/2024,"18,550","18,350.00","18,550.00","18,150.00",902.70K,1.09%
8/10/2024,"18,350","18,500.00","18,600.00","18,100.00",1.04M,-0.27%
7/10/2024,"18,400","18,150.00","18,450.00","18,100.00",634.00K,1.66%
4/10/2024,"18,100","18,150.00","18,450.00","18,000.00",1.00M,-0.28%
3/10/2024,"18,150","18,600.00","18,800.00","18,100.00",2.05M,-2.42%
2/10/2024,"18,600","19,000.00","19,000.00","18,550.00",1.26M,-1.85%
1/10/2024,"18,950","18,757.10","19,239.30","18,612.50",2.61M,1.81%
30/09/2024,"18,613","18,323.20","18,708.90","18,274.90",1.66M,1.58%
27/09/2024,"18,323","18,178.50","18,371.40","18,178.50",1.39M,1.06%
26/09/2024,"18,130","18,178.50","18,371.40","18,082.10",1.36M,-0.27%
25/09/2024,"18,179","18,033.80","18,371.40","18,033.80",1.57M,1.89%
24/09/2024,"17,841","17,841.00","17,841.00","17,599.90",433.20K,1.09%
23/09/2024,"17,648","17,792.80","17,889.20","17,262.30",732.00K,-1.08%
20/09/2024,"17,841","18,033.80","18,130.30","17,744.50",783.60K,0.54%
19/09/2024,"17,745","17,744.50","18,033.80","17,648.10",709.20K,0.27%
18/09/2024,"17,696","17,551.70","18,033.80","17,455.20",1.56M,0.82%
17/09/2024,"17,552","17,117.70","17,551.70","17,069.50",923.80K,3.12%
16/09/2024,"17,021","17,069.50","17,262.30","16,828.40",508.80K,-0.56%
13/09/2024,"17,118","16,924.80","17,310.60","16,924.80",530.30K,1.14%
12/9/2024,"16,925","17,165.90","17,262.30","16,924.80",382.80K,-0.28%
11/9/2024,"16,973","17,117.70","17,214.10","16,539.10",1.19M,-0.85%
10/9/2024,"17,118","17,455.20","17,599.90","16,973.00",861.20K,-1.39%
9/9/2024,"17,359","17,310.60","17,358.80","17,165.90",430.70K,-0.28%
6/9/2024,"17,407","17,358.80","17,599.90","17,214.10",521.70K,0.00%
5/9/2024,"17,407","17,648.10","17,744.50","17,214.10",993.60K,-0.28%
4/9/2024,"17,455","17,358.80","17,648.10","17,310.60",1.15M,-1.90%
30/08/2024,"17,793","17,841.00","17,889.20","17,696.30",641.10K,0.55%
29/08/2024,"17,696","17,889.20","18,033.80","17,648.10",602.00K,-1.08%
28/08/2024,"17,889","18,033.80","18,033.80","17,455.20",955.60K,0.27%
27/08/2024,"17,841","17,985.60","18,082.10","17,841.00",953.40K,-1.60%
26/08/2024,"18,130","18,323.20","18,612.50","18,082.10",1.48M,-0.79%
23/08/2024,"18,275","17,841.00","18,274.90","17,648.10",1.56M,2.71%
22/08/2024,"17,793","18,082.10","18,082.10","17,551.70",955.10K,-0.27%
21/08/2024,"17,841","17,841.00","17,889.20","17,551.70",1.02M,-0.27%
20/08/2024,"17,889","17,648.10","18,178.50","17,310.60",2.36M,1.37%
19/08/2024,"17,648","17,648.10","17,648.10","17,214.10",1.65M,3.10%
16/08/2024,"17,118","16,249.80","17,117.70","16,105.10",2.56M,6.93%
15/08/2024,"16,009","16,249.80","16,298.00","15,960.40",680.40K,-1.19%
14/08/2024,"16,202","16,780.20","16,780.20","16,201.50",874.30K,-2.04%
13/08/2024,"16,539","16,973.00","16,973.00","16,394.40",1.01M,-1.44%
12/8/2024,"16,780","16,731.90","16,876.60","16,587.30",577.00K,0.29%
9/8/2024,"16,732","16,056.90","16,924.80","16,056.90",2.19M,4.52%
8/8/2024,"16,009","15,960.40","16,394.40","15,767.60",735.00K,-1.19%
7/8/2024,"16,202","16,394.40","16,442.60","16,008.70",517.10K,-0.59%
6/8/2024,"16,298","15,960.40","16,394.40","15,719.30",1.24M,3.68%
5/8/2024,"15,719","15,719.30","16,539.10","15,622.90",1.17M,-4.12%
2/8/2024,"16,394","15,671.10","16,490.80","15,526.50",1.18M,4.94%
1/8/2024,"15,623","16,876.60","16,876.60","15,526.50",3.06M,-6.36%
31/07/2024,"16,684","16,973.00","17,069.50","16,683.70",514.30K,-0.58%
30/07/2024,"16,780","16,973.00","17,021.30","16,683.70",549.30K,-1.69%
29/07/2024,"17,070","17,069.50","17,214.10","16,924.80",420.90K,0.57%
26/07/2024,"16,973","17,021.30","17,021.30","16,828.40",430.00K,0.57%
25/07/2024,"16,877","16,635.50","16,973.00","16,635.50",460.00K,-0.57%
24/07/2024,"16,973","16,298.00","17,069.50","16,008.70",1.44M,1.73%
23/07/2024,"16,684","16,924.80","17,214.10","16,587.30",891.40K,-1.14%
22/07/2024,"16,877","17,599.90","17,648.10","16,731.90",2.63M,-4.89%
19/07/2024,"17,745","18,226.70","18,516.00","17,696.30",1.14M,-3.16%
18/07/2024,"18,323","18,467.80","18,467.80","17,841.00",1.30M,0.26%
17/07/2024,"18,275","19,046.40","19,094.70","17,937.40",1.68M,-3.56%
16/07/2024,"18,950","19,046.40","19,142.90","18,901.80",1.35M,0.25%
15/07/2024,"18,902","18,901.80","19,142.90","18,757.10",551.90K,0.00%
12/7/2024,"18,902","18,901.80","19,094.70","18,805.40",873.30K,-0.51%
11/7/2024,"18,998","18,901.80","19,239.30","18,853.60",1.26M,0.77%
