Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"37,550","38,500.00","38,750.00","37,550.00",3.42M,-1.83%
30/12/2024,"38,250","39,100.00","39,150.00","38,250.00",4.01M,-2.30%
27/12/2024,"39,150","39,250.00","39,500.00","39,100.00",2.86M,0.38%
26/12/2024,"39,000","38,950.00","39,350.00","38,800.00",3.88M,0.91%
25/12/2024,"38,650","38,200.00","39,800.00","38,100.00",5.28M,1.44%
24/12/2024,"38,100","38,700.00","38,850.00","38,050.00",3.22M,-1.30%
23/12/2024,"38,600","38,900.00","39,000.00","38,500.00",2.90M,0.55%
20/12/2024,"38,388","38,430.00","38,595.00","38,305.80",3.62M,0.00%
19/12/2024,"38,388","38,554.00","38,636.00","38,347.10",3.27M,-0.85%
18/12/2024,"38,719","38,719.00","38,843.00","38,595.00",2.01M,0.54%
17/12/2024,"38,512","38,843.00","38,967.00","38,512.40",2.72M,-0.32%
16/12/2024,"38,636","38,843.00","39,050.00","38,595.00",3.93M,0.75%
13/12/2024,"38,347","38,471.00","38,678.00","38,347.10",1.67M,-0.43%
12/12/2024,"38,512","38,595.00","38,967.00","38,512.40",2.34M,0.00%
11/12/2024,"38,512","38,802.00","38,843.00","38,429.70",1.56M,-0.32%
10/12/2024,"38,636","38,678.00","39,132.00","38,636.40",2.35M,0.11%
9/12/2024,"38,595","38,554.00","38,843.00","38,512.40",2.08M,0.22%
6/12/2024,"38,512","38,347.00","38,802.00","38,347.10",3.02M,1.30%
5/12/2024,"38,017","37,438.00","38,678.00","37,438.00",2.94M,1.88%
4/12/2024,"37,314","38,099.00","38,140.00","37,314.00",2.90M,-1.95%
3/12/2024,"38,058","38,430.00","38,430.00","38,057.80",1.69M,-0.97%
2/12/2024,"38,430","38,760.00","38,926.00","38,429.70",1.59M,-0.53%
29/11/2024,"38,636","38,099.00","38,636.00","37,892.50",1.75M,1.41%
28/11/2024,"38,099","38,430.00","38,471.00","38,099.20",1.55M,-0.54%
27/11/2024,"38,306","38,223.00","38,388.00","38,057.80",1.47M,0.22%
26/11/2024,"38,223","37,603.00","38,223.00","37,603.30",2.23M,1.54%
25/11/2024,"37,645","37,769.00","37,851.00","37,603.30",1.34M,-0.33%
22/11/2024,"37,769","37,851.00","37,851.00","37,396.70",2.27M,0.77%
21/11/2024,"37,479","37,273.00","37,727.00","37,272.70",1.78M,0.78%
20/11/2024,"37,190","36,942.00","37,893.00","36,776.80",2.65M,0.90%
19/11/2024,"36,859","37,355.00","37,355.00","36,859.50",1.76M,0.33%
18/11/2024,"36,736","36,901.00","37,686.00","36,735.50",2.32M,-0.56%
15/11/2024,"36,942","37,686.00","37,686.00","36,942.10",2.73M,-1.76%
14/11/2024,"37,603","38,223.00","38,223.00","37,603.30",2.42M,-1.41%
13/11/2024,"38,140","38,264.00","38,430.00","37,892.50",2.20M,-0.32%
12/11/2024,"38,264","38,430.00","38,719.00","38,264.40",2.04M,-0.43%
11/11/2024,"38,430","39,174.00","39,256.00","38,347.10",3.15M,-1.90%
8/11/2024,"39,174","39,421.00","39,587.00","38,843.00",3.20M,-0.42%
7/11/2024,"39,339","40,000.00","40,000.00","39,338.80",1.53M,-0.94%
6/11/2024,"39,711","39,339.00","39,793.00","39,338.80",1.31M,1.37%
5/11/2024,"39,174","39,421.00","39,587.00","39,132.20",1.85M,-0.63%
4/11/2024,"39,421","39,463.00","39,835.00","39,297.50",1.62M,-0.11%
1/11/2024,"39,463","39,669.00","39,752.00","39,297.50",1.87M,0.00%
31/10/2024,"39,463","39,669.00","40,041.00","39,380.20",2.17M,0.11%
30/10/2024,"39,421","39,380.00","39,835.00","39,380.20",1.71M,0.31%
29/10/2024,"39,298","39,421.00","40,041.00","39,256.20",2.63M,0.11%
28/10/2024,"39,256","39,256.00","39,463.00","39,090.90",2.09M,0.00%
25/10/2024,"39,256","39,711.00","39,917.00","39,256.20",2.05M,-1.04%
24/10/2024,"39,669","39,752.00","40,372.00","39,669.40",1.77M,-0.83%
23/10/2024,"40,000","40,289.00","40,289.00","39,669.40",2.90M,-0.72%
22/10/2024,"40,289","41,074.00","41,074.00","40,247.90",4.08M,-1.81%
21/10/2024,"41,033","41,322.00","41,488.00","41,033.00",2.57M,-1.29%
18/10/2024,"41,570","41,901.00","42,149.00","41,570.20",4.11M,0.00%
17/10/2024,"41,570","41,488.00","41,570.00","40,950.40",2.56M,0.90%
16/10/2024,"41,198","41,322.00","41,736.00","41,157.00",2.17M,-0.30%
15/10/2024,"41,322","40,909.00","42,149.00","40,909.10",8.38M,1.21%
14/10/2024,"40,826","40,909.00","41,116.00","40,826.40",1.41M,0.00%
11/10/2024,"40,826","41,198.00","41,198.00","40,743.80",1.86M,-0.71%
10/10/2024,"41,116","41,281.00","41,281.00","40,826.40",3.21M,0.61%
9/10/2024,"40,868","40,661.00","40,992.00","40,330.60",2.65M,1.13%
8/10/2024,"40,413","40,537.00","40,785.00","40,330.60",2.30M,-0.31%
7/10/2024,"40,537","40,909.00","40,909.00","40,495.90",1.81M,-0.30%
4/10/2024,"40,661","40,909.00","40,992.00","40,619.80",2.62M,-0.61%
