Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"35,500","35,650.00","35,750.00","35,350.00",201.20K,-0.42%
30/12/2024,"35,650","35,750.00","36,150.00","35,650.00",464.80K,-0.14%
27/12/2024,"35,700","35,850.00","35,950.00","35,550.00",378.30K,-0.28%
26/12/2024,"35,800","35,850.00","36,000.00","35,750.00",193.20K,-0.14%
25/12/2024,"35,850","35,500.00","36,450.00","35,300.00",825.60K,1.85%
24/12/2024,"35,200","35,550.00","35,550.00","35,050.00",428.00K,-0.56%
23/12/2024,"35,400","35,300.00","35,650.00","35,300.00",245.10K,0.00%
20/12/2024,"35,400","35,700.00","35,700.00","35,400.00",346.00K,-0.42%
19/12/2024,"35,550","35,550.00","35,800.00","35,450.00",727.30K,-1.39%
18/12/2024,"36,050","35,900.00","36,200.00","35,800.00",442.40K,0.14%
17/12/2024,"36,000","36,250.00","36,350.00","36,000.00",346.90K,-0.41%
16/12/2024,"36,150","36,000.00","36,200.00","35,850.00",313.70K,0.42%
13/12/2024,"36,000","36,100.00","36,200.00","35,850.00",515.60K,-0.28%
12/12/2024,"36,100","36,500.00","36,600.00","36,050.00",580.80K,-0.69%
11/12/2024,"36,350","36,300.00","36,550.00","36,050.00",904.00K,0.83%
10/12/2024,"36,050","36,100.00","36,400.00","35,950.00",726.50K,-0.69%
9/12/2024,"36,300","36,300.00","36,700.00","36,100.00",722.90K,0.28%
6/12/2024,"36,200","36,600.00","36,750.00","35,950.00",976.50K,-0.41%
5/12/2024,"36,350","34,000.00","36,350.00","33,200.00",2.31M,6.91%
4/12/2024,"34,000","34,750.00","34,750.00","33,900.00",1.25M,-2.30%
3/12/2024,"34,800","35,450.00","35,450.00","34,800.00",482.20K,-1.00%
2/12/2024,"35,150","35,200.00","35,550.00","35,050.00",419.00K,0.14%
29/11/2024,"35,100","34,850.00","35,500.00","34,850.00",468.90K,-0.43%
28/11/2024,"35,250","35,750.00","35,750.00","35,050.00",518.80K,0.14%
27/11/2024,"35,200","35,400.00","35,400.00","35,050.00",311.80K,-0.28%
26/11/2024,"35,300","34,950.00","35,750.00","34,950.00",866.00K,1.29%
25/11/2024,"34,850","34,950.00","35,150.00","34,450.00",502.80K,0.14%
22/11/2024,"34,800","35,200.00","35,300.00","34,600.00",583.20K,-1.00%
21/11/2024,"35,150","35,300.00","35,300.00","34,650.00",346.10K,0.57%
20/11/2024,"34,950","34,050.00","36,000.00","34,050.00",1.18M,1.45%
19/11/2024,"34,450","35,500.00","35,500.00","34,450.00",637.20K,-2.68%
18/11/2024,"35,400","34,050.00","35,700.00","34,000.00",1.01M,3.96%
15/11/2024,"34,050","35,100.00","35,450.00","34,050.00",1.72M,-4.62%
14/11/2024,"35,700","36,800.00","36,950.00","34,300.00",1.12M,-2.99%
13/11/2024,"36,800","37,200.00","37,350.00","36,550.00",911.70K,-1.08%
12/11/2024,"37,200","37,500.00","37,800.00","37,200.00",692.00K,0.00%
11/11/2024,"37,200","37,200.00","37,700.00","37,100.00",1.01M,-1.46%
8/11/2024,"37,750","38,000.00","38,400.00","37,600.00",735.20K,-0.26%
7/11/2024,"37,850","38,500.00","38,500.00","37,850.00",580.30K,-0.79%
6/11/2024,"38,150","37,600.00","38,150.00","37,500.00",1.00M,2.14%
5/11/2024,"37,350","37,700.00","37,800.00","37,300.00",311.10K,-0.66%
4/11/2024,"37,600","37,200.00","38,050.00","36,500.00",1.06M,1.08%
1/11/2024,"37,200","37,500.00","37,600.00","36,950.00",642.20K,-1.06%
31/10/2024,"37,600","37,200.00","37,600.00","37,200.00",465.00K,1.08%
30/10/2024,"37,200","37,400.00","37,500.00","37,000.00",552.70K,-0.67%
29/10/2024,"37,450","37,600.00","37,850.00","37,200.00",576.10K,0.13%
28/10/2024,"37,400","37,100.00","37,600.00","37,100.00",492.90K,1.49%
25/10/2024,"36,850","37,000.00","37,100.00","36,800.00",941.50K,0.00%
24/10/2024,"36,850","37,800.00","38,000.00","36,850.00",1.26M,-2.90%
23/10/2024,"37,950","37,350.00","38,100.00","37,150.00",837.80K,1.34%
22/10/2024,"37,450","38,400.00","38,400.00","36,800.00",2.15M,-2.47%
21/10/2024,"38,400","39,550.00","39,750.00","38,400.00",1.18M,-3.52%
18/10/2024,"39,800","40,050.00","40,300.00","39,800.00",900.30K,-0.50%
17/10/2024,"40,000","39,800.00","40,200.00","38,900.00",1.51M,0.50%
16/10/2024,"39,800","40,150.00","40,150.00","39,500.00",908.10K,-0.87%
15/10/2024,"40,150","40,850.00","40,850.00","40,100.00",1.01M,-1.11%
14/10/2024,"40,600","40,450.00","41,000.00","40,300.00",1.52M,0.74%
11/10/2024,"40,300","40,000.00","40,300.00","39,900.00",553.70K,0.75%
10/10/2024,"40,000","40,600.00","40,600.00","39,950.00",801.80K,-0.50%
9/10/2024,"40,200","39,950.00","40,500.00","39,800.00",813.60K,0.88%
8/10/2024,"39,850","40,950.00","41,000.00","39,800.00",1.54M,-1.85%
7/10/2024,"40,600","40,150.00","40,600.00","39,800.00",853.50K,1.75%
4/10/2024,"39,900","40,050.00","40,450.00","39,900.00",900.90K,-0.37%
3/10/2024,"40,050","41,000.00","41,050.00","39,850.00",1.97M,-1.60%
2/10/2024,"40,700","40,700.00","41,000.00","40,500.00",1.49M,-0.25%
1/10/2024,"40,800","41,000.00","42,000.00","40,750.00",2.50M,0.25%
30/09/2024,"40,700","40,250.00","41,150.00","39,950.00",1.27M,0.99%
27/09/2024,"40,300","40,150.00","40,400.00","40,000.00",1.35M,0.50%
26/09/2024,"40,100","40,700.00","40,700.00","40,000.00",2.04M,-1.11%
25/09/2024,"40,550","40,650.00","41,550.00","40,500.00",2.56M,0.50%
24/09/2024,"40,350","40,000.00","40,400.00","39,700.00",1.34M,1.51%
23/09/2024,"39,750","39,500.00","40,100.00","39,250.00",1.23M,0.63%
20/09/2024,"39,500","40,450.00","40,450.00","39,500.00",1.21M,-0.50%
19/09/2024,"39,700","39,950.00","40,100.00","39,550.00",1.22M,-0.25%
18/09/2024,"39,800","39,550.00","40,600.00","39,400.00",2.25M,0.89%
17/09/2024,"39,450","38,000.00","39,450.00","37,950.00",1.64M,3.68%
16/09/2024,"38,050","38,200.00","38,800.00","38,000.00",1.01M,-0.91%
13/09/2024,"38,400","38,100.00","39,000.00","38,100.00",1.09M,0.92%
12/9/2024,"38,050","38,500.00","38,800.00","38,050.00",534.50K,-0.39%
11/9/2024,"38,200","37,650.00","38,800.00","37,350.00",1.32M,0.79%
10/9/2024,"37,900","38,950.00","39,000.00","37,800.00",1.85M,-2.19%
9/9/2024,"38,750","39,100.00","39,300.00","38,200.00",816.50K,-1.40%
6/9/2024,"39,300","39,000.00","39,500.00","38,500.00",925.00K,0.26%
5/9/2024,"39,200","39,400.00","40,150.00","38,950.00",1.96M,0.00%
4/9/2024,"39,200","38,400.00","39,250.00","38,150.00",1.08M,0.51%
30/08/2024,"39,000","38,750.00","39,450.00","38,700.00",937.10K,0.65%
29/08/2024,"38,750","38,900.00","39,200.00","38,600.00",624.70K,-0.26%
28/08/2024,"38,850","39,500.00","39,500.00","38,050.00",1.70M,-0.89%
27/08/2024,"39,200","39,200.00","39,500.00","38,900.00",1.37M,0.13%
26/08/2024,"39,150","40,300.00","40,300.00","39,100.00",1.56M,-1.01%
23/08/2024,"39,550","39,050.00","40,000.00","38,850.00",1.85M,1.28%
22/08/2024,"39,050","39,200.00","39,800.00","38,850.00",1.29M,-0.13%
21/08/2024,"39,100","39,100.00","39,300.00","38,500.00",1.71M,0.13%
20/08/2024,"39,050","38,200.00","40,350.00","37,700.00",2.82M,2.23%
19/08/2024,"38,200","38,500.00","38,800.00","38,100.00",1.68M,0.66%
16/08/2024,"37,950","36,000.00","37,950.00","35,650.00",3.21M,6.90%
15/08/2024,"35,500","36,000.00","36,650.00","35,500.00",1.41M,-1.80%
14/08/2024,"36,150","36,650.00","37,100.00","36,150.00",1.76M,-0.55%
13/08/2024,"36,350","36,900.00","36,900.00","35,600.00",1.61M,-0.95%
12/8/2024,"36,700","36,200.00","36,700.00","36,000.00",1.52M,1.66%
9/8/2024,"36,100","35,400.00","36,900.00","35,100.00",2.93M,3.29%
8/8/2024,"34,950","36,000.00","36,150.00","34,150.00",2.14M,-2.92%
7/8/2024,"36,000","36,700.00","36,700.00","35,100.00",1.96M,-1.50%
6/8/2024,"36,550","35,200.00","36,800.00","34,100.00",2.49M,5.64%
5/8/2024,"34,600","34,050.00","35,500.00","33,550.00",2.97M,-0.29%
2/8/2024,"34,700","32,200.00","34,700.00","31,350.00",2.48M,6.93%
1/8/2024,"32,450","35,000.00","35,200.00","32,450.00",2.95M,-6.89%
31/07/2024,"34,850","35,350.00","35,800.00","34,800.00",961.80K,-0.99%
30/07/2024,"35,200","35,750.00","35,900.00","34,900.00",851.10K,-1.95%
29/07/2024,"35,900","35,300.00","36,350.00","35,300.00",989.10K,2.13%
26/07/2024,"35,150","35,700.00","36,050.00","35,100.00",1.26M,-1.54%
25/07/2024,"35,700","35,500.00","36,200.00","34,650.00",987.50K,0.85%
24/07/2024,"35,400","34,100.00","35,700.00","33,800.00",1.80M,2.02%
23/07/2024,"34,700","36,900.00","36,950.00","34,700.00",2.20M,-6.59%
22/07/2024,"37,150","39,000.00","39,400.00","37,150.00",3.83M,-6.89%
19/07/2024,"39,900","40,650.00","41,600.00","39,800.00",1.73M,-3.39%
18/07/2024,"41,300","41,000.00","41,400.00","39,800.00",1.70M,0.49%
17/07/2024,"41,100","42,200.00","42,500.00","39,300.00",2.38M,-2.38%
16/07/2024,"42,100","42,300.00","43,100.00","42,000.00",1.61M,0.12%
15/07/2024,"42,050","41,900.00","42,350.00","41,500.00",1.11M,0.84%
12/7/2024,"41,700","41,900.00","42,350.00","41,500.00",1.20M,-1.07%
11/7/2024,"42,150","41,700.00","42,800.00","41,450.00",2.12M,1.81%
10/7/2024,"41,400","42,000.00","42,100.00","41,150.00",1.37M,-1.43%
9/7/2024,"42,000","40,050.00","42,000.00","39,850.00",3.06M,5.66%
8/7/2024,"39,750","39,450.00","40,050.00","39,250.00",1.36M,1.15%
5/7/2024,"39,300","39,800.00","39,800.00","38,800.00",1.13M,-0.63%
4/7/2024,"39,550","40,000.00","40,450.00","39,500.00",940.70K,-0.25%
3/7/2024,"39,650","40,000.00","40,200.00","39,500.00",754.40K,-1.25%
2/7/2024,"40,150","39,750.00","40,500.00","39,650.00",1.18M,1.39%
1/7/2024,"39,600","38,900.00","39,700.00","38,650.00",869.30K,2.72%
28/06/2024,"38,550","38,250.00","40,000.00","38,200.00",1.62M,0.13%
27/06/2024,"38,500","39,000.00","39,600.00","38,500.00",1.14M,-2.90%
26/06/2024,"39,650","39,900.00","40,050.00","37,750.00",1.01M,-0.63%
25/06/2024,"39,900","39,750.00","40,050.00","39,100.00",1.13M,0.38%
24/06/2024,"39,750","42,200.00","42,650.00","39,750.00",5.06M,-6.91%
21/06/2024,"42,700","42,400.00","43,100.00","42,400.00",836.00K,0.12%
20/06/2024,"42,650","43,000.00","43,450.00","42,000.00",1.24M,-1.04%
19/06/2024,"43,100","43,100.00","43,950.00","42,600.00",1.22M,0.23%
18/06/2024,"43,000","42,950.00","43,200.00","42,700.00",881.00K,0.70%
17/06/2024,"42,700","42,800.00","43,400.00","42,200.00",1.92M,-0.23%
14/06/2024,"42,800","45,450.00","45,850.00","42,800.00",2.26M,-5.31%
13/06/2024,"45,200","46,400.00","46,400.00","45,200.00",1.00M,-1.20%
12/6/2024,"45,750","45,200.00","46,450.00","45,100.00",1.17M,1.44%
11/6/2024,"45,100","45,300.00","45,300.00","44,500.00",1.31M,0.67%
10/6/2024,"44,800","44,150.00","45,400.00","44,000.00",1.17M,1.01%
7/6/2024,"44,350","44,600.00","45,150.00","43,700.00",1.14M,0.00%
6/6/2024,"44,350","44,800.00","45,000.00","43,900.00",1.18M,-1.00%
5/6/2024,"44,800","44,100.00","45,700.00","43,900.00",2.56M,2.05%
4/6/2024,"43,900","43,100.00","44,300.00","43,100.00",2.10M,1.97%
