Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
31/12/2024,"1,267","1,272.25","1,272.46","1,266.78",480.54K,-0.41%
30/12/2024,"1,272","1,275.14","1,275.14","1,268.77",527.66K,-0.24%
27/12/2024,"1,275","1,272.87","1,277.89","1,272.23",670.32K,0.18%
26/12/2024,"1,273","1,275.68","1,277.17","1,271.99",595.22K,-0.09%
25/12/2024,"1,274","1,260.81","1,283.09","1,260.81",810.46K,1.09%
24/12/2024,"1,260","1,262.76","1,263.17","1,253.78",643.16K,-0.19%
23/12/2024,"1,263","1,257.50","1,265.20","1,257.50",494.70K,0.42%
20/12/2024,"1,258","1,254.67","1,259.00","1,253.90",568.92K,0.23%
19/12/2024,"1,255","1,256.90","1,259.76","1,249.39",779.41K,-0.89%
18/12/2024,"1,266","1,261.72","1,266.53","1,261.49",531.46K,0.34%
17/12/2024,"1,262","1,263.79","1,265.45","1,260.60",502.25K,-0.16%
16/12/2024,"1,264","1,262.57","1,267.10","1,258.65",538.93K,0.10%
13/12/2024,"1,263","1,267.35","1,267.35","1,260.48",478.79K,-0.38%
12/12/2024,"1,267","1,268.86","1,275.64","1,265.99",554.12K,-0.12%
11/12/2024,"1,269","1,273.23","1,276.67","1,264.15",627.53K,-0.25%
10/12/2024,"1,272","1,273.84","1,277.32","1,270.32",631.45K,-0.14%
9/12/2024,"1,274","1,270.14","1,277.69","1,268.69",761.00K,0.29%
6/12/2024,"1,270","1,270.96","1,276.10","1,268.58",694.79K,0.21%
5/12/2024,"1,268","1,241.81","1,269.18","1,238.49",908.39K,2.19%
4/12/2024,"1,240","1,249.83","1,249.83","1,239.82",575.02K,-0.75%
3/12/2024,"1,250","1,251.21","1,253.83","1,244.91",673.40K,-0.11%
2/12/2024,"1,251","1,250.46","1,258.05","1,247.74",497.42K,0.06%
29/11/2024,"1,250","1,242.51","1,250.92","1,241.00",502.81K,0.67%
28/11/2024,"1,242","1,246.37","1,250.46","1,240.91",477.49K,0.01%
27/11/2024,"1,242","1,242.13","1,245.34","1,239.23",428.81K,-0.01%
